Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
48;0,251188635826111;1936,9203250206;-1307,60730966076;LDH-M2-6-18h-DS
48;0,199526235461235;2145,46095700604;-1388,22923609039;LDH-M2-6-18h-DS
48;0,158489316701889;2366,94499995562;-1465,84694268853;LDH-M2-6-18h-DS
48;0,125892534852028;2601,51004440336;-1536,99462942265;LDH-M2-6-18h-DS
48;0,100000001490116;2848,20314370317;-1600,68147327634;LDH-M2-6-18h-DS
48;0,0794328227639198;3285,58247300074;-1792,44475434653;LDH-M2-6-18h-DS
48;0,0630957335233688;3504,34272845496;-1791,18297293393;LDH-M2-6-18h-DS
48;0,0501187220215797;3734,1129286014;-1788,93429157523;LDH-M2-6-18h-DS
48;0,0398107171058655;3977,04061442372;-1769,99788693366;LDH-M2-6-18h-DS
48;0,0316227748990059;4256,68213843296;-1762,68261621391;LDH-M2-6-18h-DS
48;0,0251188650727272;4562,36916699072;-1735,54761117577;LDH-M2-6-18h-DS
48;0,0199526231735945;4857,66555195511;-1677,71783232328;LDH-M2-6-18h-DS
48;0,015848932787776;5136,64548805378;-1591,67826224943;LDH-M2-6-18h-DS
48;0,0125892544165254;5394,37886188929;-1478,75127039516;LDH-M2-6-18h-DS
48;0,00999999977648258;5621,04019643688;-1333,05886246347;LDH-M2-6-18h-DS
72;100000;81,0809809223487;-2,26374833478949;LDH-M2-6-18h-DS
72;79432,8203125;78,8947964029163;-1,86947398821884;LDH-M2-6-18h-DS
72;63095,734375;77,6987324997265;-1,85192885414217;LDH-M2-6-18h-DS
72;50118,72265625;76,9946202142202;-1,76637370497228;LDH-M2-6-18h-DS
72;39810,71875;76,6136556725363;-1,66746960281861;LDH-M2-6-18h-DS
72;31622,77734375;76,4222882950972;-1,59564584138284;LDH-M2-6-18h-DS
72;25118,865234375;76,432559118508;-1,59353777385806;LDH-M2-6-18h-DS
72;19952,623046875;76,3080580379081;-1,66124580379218;LDH-M2-6-18h-DS
72;15848,931640625;76,4231880409629;-1,80932506232748;LDH-M2-6-18h-DS
72;12589,25390625;76,554989278672;-1,98428648404716;LDH-M2-6-18h-DS
72;10000;76,6502727956397;-2,16711600645799;LDH-M2-6-18h-DS
